17:15:35,869 4,58 34,68 19,94 8,08 10,79 7,89 4,67 0,00 0,00 0,00 0,08 0,07 0,08 61,60 14,59 70,65 78,50 35,66 80,91 12,97 1,43 3,39 0,47 0,70 54,43 7,09 49,64 20,15 4,41 0,02 0,05 0,70 0,81 0,01 85,33 1082,24 8505,24 72,35 49,06 15,14 4,68 10,21 0,75 2,12 6,99 4,36 6,19 0,94
17:15:38,160 3,10 20,13 13,01 4,95 6,65 5,35 3,14 0,00 0,00 0,00 0,04 0,04 0,04 5,44 8,74 1,93 28,04 20,32 15,51 5,55 0,89 0,91 0,22 0,44 18,08 4,49 4,82 10,20 2,86 0,00 0,01 0,53 0,63 0,00 26,42 9,69 33,65 44,85 3,06 7,58 2,60 5,85 0,29 0,88 2,32 1,96 3,09 0,36
17:15:40,483 2,89 18,21 12,02 4,52 6,08 4,98 2,92 0,00 0,00 0,00 0,04 0,04 0,04 3,45 7,94 0,98 23,11 18,29 11,37 4,77 0,82 0,72 0,19 0,41 14,74 4,13 3,13 8,99 2,64 0,00 0,01 0,50 0,60 0,00 22,39 4,97 15,40 41,92 2,07 7,57 2,60 5,84 0,40 1,19 3,39 2,58 3,92 0,50
17:15:42,809 2,85 17,86 11,84 4,44 5,98 4,91 2,88 0,00 0,00 0,00 0,03 0,04 0,04 3,15 7,79 0,86 22,25 17,91 10,70 4,63 0,81 0,68 0,19 0,40 13,75 4,01 2,70 8,62 2,57 0,00 0,00 0,50 0,60 0,00 33,88 26,33 108,77 49,64 5,51 8,08 2,75 6,16 0,31 0,93 2,49 2,06 3,22 0,38
17:15:45,099 2,84 17,79 11,80 4,43 5,96 4,90 2,87 0,00 0,00 0,00 0,03 0,04 0,04 3,10 7,76 0,83 22,09 17,84 10,58 4,60 0,80 0,68 0,19 0,40 13,64 4,00 2,66 8,57 2,56 0,00 0,00 0,50 0,59 0,00 32,67 22,77 91,70 48,91 5,06 7,29 2,51 5,66 0,22 0,67 1,67 1,54 2,50 0,27
17:15:47,438 2,84 17,77 11,80 4,43 5,95 4,90 2,87 0,00 0,00 0,00 0,03 0,04 0,04 3,08 7,76 0,83 22,05 17,82 10,55 4,60 0,80 0,68 0,18 0,40 13,46 3,97 2,58 8,50 2,55 0,00 0,00 0,50 0,59 0,00 27,93 12,12 43,76 45,88 3,49 8,22 2,79 6,24 0,97 2,69 9,36 5,38 7,44 1,21
17:15:49,761 2,84 17,77 11,80 4,43 5,95 4,90 2,87 0,00 0,00 0,00 0,03 0,04 0,04 3,08 7,76 0,83 22,05 17,82 10,54 4,59 0,80 0,68 0,18 0,40 13,50 3,98 2,60 8,52 2,55 0,00 0,00 0,50 0,59 0,00 17,75 1,96 5,16 38,14 1,20 8,04 2,73 6,13 0,63 1,79 5,65 3,74 5,41 0,78
17:15:52,055 2,83 17,73 11,77 4,42 5,94 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 3,05 7,74 0,82 21,96 17,78 10,48 4,59 0,80 0,68 0,18 0,40 13,43 3,97 2,57 8,49 2,54 0,00 0,00 0,50 0,59 0,00 22,04 4,68 14,32 41,66 2,00 9,25 3,08 6,86 0,55 1,59 4,86 3,35 4,92 0,68
17:15:54,374 2,84 17,76 11,79 4,42 5,95 4,89 2,87 0,00 0,00 0,00 0,03 0,04 0,04 3,08 7,75 0,83 22,03 17,81 10,53 4,59 0,80 0,68 0,18 0,40 13,42 3,97 2,57 8,49 2,54 0,00 0,00 0,50 0,59 0,00 20,93 3,80 11,22 40,79 1,77 6,97 2,42 5,46 0,59 1,71 5,32 3,58 5,21 0,74
17:15:56,700 2,83 17,73 11,77 4,42 5,94 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 3,08 7,76 0,83 22,04 17,82 10,54 4,61 0,81 0,68 0,19 0,40 13,57 3,99 2,63 8,55 2,55 0,00 0,00 0,50 0,59 0,00 31,36 19,31 75,60 48,10 4,60 7,12 2,46 5,56 0,42 1,22 3,52 2,65 4,01 0,52
17:15:58,991 2,84 17,76 11,79 4,42 5,95 4,89 2,87 0,00 0,00 0,00 0,03 0,04 0,04 3,08 7,76 0,83 22,04 17,82 10,54 4,60 0,80 0,68 0,18 0,40 13,44 3,97 2,58 8,50 2,55 0,00 0,00 0,50 0,59 0,00 29,98 16,11 61,11 47,23 4,13 8,21 2,78 6,23 0,20 0,63 1,54 1,45 2,38 0,25
