18:17:39,511 4,54 34,28 19,76 8,00 10,68 7,82 4,63 0,00 0,00 0,00 0,08 0,07 0,08 63,10 14,66 73,21 79,30 35,86 82,24 12,97 1,43 3,39 0,47 0,70 54,43 7,09 49,64 20,15 4,41 0,02 0,05 0,70 0,81 0,01 88,87 1274,53 10303,96 73,56 54,02 23,58 6,83 14,57 0,81 2,29 7,68 4,66 6,56 1,02
18:17:41,838 3,09 19,99 12,94 4,92 6,61 5,32 3,13 0,00 0,00 0,00 0,04 0,04 0,04 5,41 8,73 1,91 27,97 20,30 15,45 5,53 0,89 0,90 0,22 0,44 17,96 4,48 4,76 10,16 2,85 0,00 0,01 0,53 0,63 0,00 135,22 6895,26 74662,94 87,29 145,81 15,38 4,75 10,33 0,99 2,75 9,62 5,50 7,57 1,24
18:17:44,143 2,88 18,14 11,99 4,51 6,06 4,97 2,91 0,00 0,00 0,00 0,03 0,04 0,04 3,48 7,95 0,99 23,20 18,32 11,44 4,75 0,82 0,71 0,19 0,41 14,81 4,14 3,16 9,02 2,64 0,00 0,01 0,50 0,60 0,00 195,87 30613,03 429045,06 101,53 350,38 15,54 4,79 10,42 1,74 4,66 18,58 8,86 11,46 2,19
18:17:46,441 2,85 17,88 11,86 4,45 5,99 4,92 2,88 0,00 0,00 0,00 0,03 0,04 0,04 3,22 7,83 0,88 22,45 18,00 10,86 4,62 0,81 0,68 0,19 0,40 14,34 4,08 2,96 8,84 2,61 0,00 0,00 0,50 0,59 0,00 125,71 5142,58 52928,64 84,74 122,70 14,75 4,58 9,99 3,12 8,05 36,61 14,49 17,59 3,96
18:17:48,770 2,84 17,79 11,81 4,43 5,96 4,90 2,87 0,00 0,00 0,00 0,03 0,04 0,04 3,17 7,80 0,86 22,31 17,93 10,74 4,61 0,81 0,68 0,19 0,40 14,34 4,08 2,95 8,84 2,61 0,00 0,00 0,50 0,59 0,00 139,49 7813,81 86460,50 88,41 156,94 13,48 4,24 9,29 1,09 3,02 10,82 5,98 8,15 1,37
18:17:51,091 2,83 17,73 11,78 4,42 5,94 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 3,16 7,80 0,86 22,28 17,92 10,72 4,58 0,80 0,67 0,18 0,40 14,25 4,07 2,92 8,81 2,60 0,00 0,00 0,50 0,59 0,00 198,07 32019,10 452252,78 102,00 359,76 16,08 4,93 10,71 2,59 6,75 29,40 12,36 15,32 3,27
18:17:53,399 2,83 17,72 11,77 4,41 5,94 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 3,16 7,80 0,86 22,27 17,92 10,72 4,56 0,80 0,67 0,18 0,40 14,15 4,06 2,87 8,77 2,60 0,00 0,00 0,50 0,59 0,00 205,90 37426,30 543097,56 103,62 394,34 19,45 5,79 12,48 1,38 3,76 14,21 7,29 9,68 1,74
18:17:55,706 2,83 17,72 11,77 4,41 5,94 4,89 2,86 0,00 0,00 0,00 0,03 0,04 0,04 3,16 7,80 0,86 22,27 17,92 10,72 4,57 0,80 0,67 0,18 0,40 14,04 4,05 2,83 8,73 2,59 0,00 0,00 0,50 0,59 0,00 163,50 14804,79 182975,23 94,32 228,54 17,44 5,28 11,43 1,78 4,76 19,06 9,02 11,65 2,24
18:17:58,025 2,83 17,68 11,75 4,40 5,93 4,88 2,86 0,00 0,00 0,00 0,03 0,04 0,04 3,22 7,83 0,88 22,45 18,00 10,86 4,57 0,80 0,67 0,18 0,40 14,19 4,06 2,89 8,79 2,60 0,00 0,00 0,50 0,59 0,00 116,36 3768,49 36754,40 82,11 102,20 14,37 4,48 9,78 1,05 2,91 10,34 5,79 7,92 1,32
18:18:00,371 2,82 17,63 11,72 4,39 5,91 4,87 2,85 0,00 0,00 0,00 0,03 0,04 0,04 3,17 7,80 0,86 22,30 17,93 10,74 4,58 0,80 0,67 0,18 0,40 14,05 4,05 2,83 8,73 2,59 0,00 0,00 0,50 0,59 0,00 147,02 9655,80 110829,05 90,32 177,74 14,44 4,50 9,82 2,07 5,48 22,68 10,24 13,00 2,61
18:18:02,669 2,82 17,66 11,74 4,40 5,92 4,87 2,85 0,00 0,00 0,00 0,03 0,04 0,04 3,16 7,80 0,86 22,28 17,92 10,72 4,56 0,80 0,67 0,18 0,40 14,02 4,04 2,82 8,72 2,59 0,00 0,00 0,50 0,59 0,00 154,68 11842,22 140812,19 92,21 200,42 16,38 5,01 10,87 1,02 2,83 9,97 5,64 7,74 1,28
